property_area,house_age,house_style,neighborhood,overall_quality,overall_condition,spaciousness,liv_lot_ratio,remodel_age,bath_area,bsmt_area,garage_area,garage_age,has_2ndfloor,has_porch,has_pool,has_multiple_kitchen,sale_price
3300,3,1Story,Timber,7,5,240.0,0.0,6,2.0,1475,619,13.0,0,1,0,0,234271
1683,47,1Story,NAmes,5,6,163.0,0.0,56,1.0,851,283,68.0,0,1,0,0,137923
2657,18,2Story,Gilbert,6,5,241.0,0.0,11,2.5,733,425,19.0,1,1,0,0,127441
3007,10,1Story,CollgCr,7,5,295.0,0.0,8,2.0,1277,399,16.0,0,1,0,0,138835
3665,7,2Story,CollgCr,8,5,322.0,0.0,12,2.5,1374,586,3.0,1,1,0,0,232530
2795,12,1Story,CollgCr,5,5,184.0,0.0,1,2.0,1159,572,10.0,0,1,0,0,126299
2667,11,2Story,Gilbert,6,5,265.0,0.0,16,2.5,715,505,16.0,1,1,0,0,138911
2752,30,2Story,NAmes,6,5,322.0,0.0,11,2.5,820,409,41.0,1,1,0,0,143777
2667,58,1.5Fin,NAmes,6,7,244.0,0.0,51,2.0,769,519,45.0,1,1,0,0,134657
2619,3,2Story,CollgCr,7,5,241.0,0.0,-1,2.5,700,475,1.0,1,1,0,0,250329
3142,34,1Story,NAmes,5,5,199.0,0.0,44,2.0,1852,454,42.0,0,1,0,0,158838
2771,66,1Story,NAmes,5,5,291.0,0.0,18,2.5,1290,455,57.0,0,1,0,0,196388
3594,11,2Story,NoRidge,7,5,354.0,0.0,13,2.5,1039,453,8.0,1,1,0,0,231969
3123,67,1Story,NAmes,5,7,197.0,0.0,20,2.0,1392,593,40.0,0,1,0,0,129631
1833,47,SLvl,NAmes,6,7,165.0,0.0,9,1.5,666,290,50.0,0,1,0,0,152351
1817,89,1.5Fin,OldTown,5,6,167.0,0.0,60,1.0,615,260,91.0,1,1,0,0,81999
1820,6,1Story,CollgCr,5,5,150.0,0.0,1,2.0,1139,575,13.0,0,1,0,0,156131
4046,5,1Story,Timber,8,5,270.0,0.0,5,3.0,2254,992,3.0,0,1,0,0,196878
2273,52,1Story,CollgCr,5,5,204.0,0.0,1,2.0,1072,560,51.0,0,1,0,0,132322
1927,49,1Story,NAmes,5,6,208.0,0.0,57,2.0,897,199,52.0,0,1,0,0,127142
3436,13,2Story,Gilbert,7,5,309.0,0.0,12,3.5,758,779,0.0,1,1,0,0,394440
1871,52,1Story,NAmes,5,6,167.0,0.0,54,2.0,1154,225,35.0,0,1,0,0,169921
2337,7,1Story,SawyerW,6,5,292.0,0.0,4,2.0,711,507,5.0,0,1,0,0,224100
2172,85,1.5Fin,NAmes,6,6,187.0,0.0,52,1.5,706,245,31.0,1,1,0,0,100738
2472,79,1.5Fin,SWISU,5,5,228.0,0.0,53,2.0,810,440,48.0,1,1,0,0,125235
2852,48,1Story,NAmes,5,6,224.0,0.0,35,2.5,813,288,35.0,0,1,0,0,152517
2624,4,1Story,CollgCr,7,5,249.0,0.0,5,2.5,1265,600,16.0,0,1,0,0,197416
3431,0,1Story,NridgHt,9,5,269.0,0.0,-1,3.0,1645,899,4.0,0,1,0,0,228874
3227,15,1Story,CollgCr,6,5,185.0,0.0,17,2.0,978,573,5.0,0,1,0,0,154602
2204,103,1.5Fin,OldTown,5,7,218.0,0.0,56,1.0,919,186,88.0,1,1,0,0,83410
1799,42,1Story,NAmes,5,6,180.0,0.0,37,2.0,592,485,28.0,0,1,0,0,159951
1798,64,1Story,OldTown,5,5,171.0,0.0,7,1.0,654,308,60.0,0,1,0,0,115669
2791,70,1.5Fin,Crawfor,6,6,169.0,0.0,48,1.5,811,385,46.0,1,1,0,0,132421
1932,44,2Story,NAmes,6,6,176.0,0.0,30,1.5,529,241,43.0,1,1,0,0,149570
2175,76,1.5Fin,BrkSide,6,7,187.0,0.0,2,1.0,873,263,77.0,1,1,0,0,144536
2193,42,2Story,NWAmes,6,7,264.0,0.0,6,3.5,765,434,31.0,1,1,0,0,174496
2780,8,1Story,CollgCr,7,5,235.0,0.0,3,2.0,1320,488,6.0,0,1,0,0,227999
3094,44,1Story,NAmes,7,5,331.0,0.0,15,2.5,1681,521,35.0,0,1,0,0,216671
1936,45,1Story,NAmes,5,5,206.0,0.0,36,2.0,847,574,53.0,0,1,0,0,133177
3341,7,1Story,Timber,8,5,254.0,0.0,5,3.0,1844,836,4.0,0,1,0,0,331528
3112,43,2Story,Timber,6,5,313.0,0.0,23,2.5,797,414,29.0,0,1,0,0,147808
1394,43,2Story,NWAmes,6,6,230.0,0.0,20,1.5,738,302,50.0,1,1,0,0,133900
1742,95,1.5Fin,OldTown,5,6,209.0,0.0,57,1.0,882,328,77.0,1,1,0,0,133913
2463,92,1.5Fin,OldTown,6,6,191.0,0.0,54,1.5,854,239,42.0,1,1,0,0,173017
2602,83,2Story,Crawfor,7,7,258.0,0.0,10,3.0,653,468,8.0,1,1,0,0,129311
4120,6,1Story,Timber,7,5,263.0,0.0,4,2.0,1547,834,0.0,0,1,0,0,277239
1684,60,1.5Fin,OldTown,5,6,162.0,0.0,51,1.0,739,334,58.0,1,1,0,0,122497
3079,47,1Story,NAmes,6,5,212.0,0.0,9,2.0,733,621,53.0,0,1,0,0,129874
3043,5,1Story,Edwards,6,5,212.0,0.0,11,2.0,737,574,6.0,0,1,0,0,171795
2479,61,1Story,NAmes,5,5,164.0,0.0,40,2.0,955,461,51.0,0,1,0,0,124066
1977,32,2Story,NWAmes,6,5,256.0,0.0,1,2.5,692,499,41.0,1,1,0,0,139878
1879,37,SLvl,NAmes,6,6,207.0,0.0,39,1.5,798,244,45.0,1,1,0,0,140064
4039,12,2Story,NoRidge,8,5,279.0,0.0,2,3.5,993,679,6.0,1,1,0,0,400484
2914,0,1Story,CollgCr,7,5,186.0,0.0,1,2.0,912,509,0.0,0,1,0,0,227282
2997,10,2Story,CollgCr,9,5,255.0,0.0,14,3.5,1470,656,2.0,1,1,0,0,393216
2988,88,2Story,OldTown,6,8,244.0,0.0,18,2.0,1181,484,14.0,1,1,0,0,135117
1703,101,1Story,OldTown,5,7,207.0,0.0,10,1.0,608,264,15.0,0,1,0,0,96146
3677,0,2Story,Somerst,8,5,255.0,0.0,0,3.5,929,547,4.0,1,1,0,0,255684
4201,2,2Story,NridgHt,8,5,268.0,0.0,3,3.5,1099,728,0.0,1,1,0,0,355449
1592,64,1Story,OldTown,4,6,193.0,0.0,55,1.0,744,316,49.0,0,1,0,0,110132
1884,14,2Story,SawyerW,6,5,297.0,0.0,12,2.5,902,579,19.0,1,1,0,0,186896
1378,43,1Story,NAmes,5,5,179.0,0.0,7,1.0,842,254,39.0,0,0,0,0,138508
4294,2,2Story,NridgHt,8,5,247.0,0.0,3,3.5,777,819,5.0,1,1,0,0,457446
2933,10,2Story,Gilbert,7,5,253.0,0.0,9,2.5,808,606,5.0,1,1,0,0,224106
2008,59,2Story,SWISU,6,6,215.0,0.0,54,1.5,845,253,41.0,1,1,0,0,154850
3225,10,1Story,CollgCr,5,5,209.0,0.0,1,2.0,1727,840,10.0,0,1,0,0,155473
2274,52,1Story,NAmes,6,5,197.0,0.0,35,2.0,1483,586,43.0,0,1,0,0,123438
3237,0,1Story,Somerst,7,5,274.0,0.0,1,2.0,1482,583,0.0,0,1,0,0,206923
4139,1,1Story,Somerst,7,5,219.0,0.0,2,2.0,1331,512,0.0,0,1,0,0,277851
3172,13,2Story,Gilbert,7,5,245.0,0.0,14,3.5,803,740,20.0,1,1,0,0,247924
4190,8,2Story,Somerst,7,5,307.0,0.0,2,2.5,538,506,3.0,1,1,0,0,178416
1869,9,1Story,CollgCr,5,5,185.0,0.0,2,2.0,1325,299,17.0,0,1,0,0,141620
1568,42,1Story,NAmes,4,5,181.0,0.0,46,1.0,819,49,34.0,0,0,0,0,89757
2715,12,1Story,CollgCr,7,5,236.0,0.0,4,2.0,1147,588,3.0,0,1,0,0,253715
2000,66,1Story,NAmes,5,7,204.0,0.0,56,2.0,735,299,62.0,0,1,0,0,146970
1699,43,1Story,NAmes,5,6,159.0,0.0,38,2.0,1087,302,45.0,0,1,0,0,142092
3387,9,1Story,CollgCr,7,5,193.0,0.0,4,2.0,1030,323,6.0,0,1,0,0,135230
1438,31,1Story,Edwards,4,5,186.0,0.0,60,2.0,838,262,49.0,0,1,0,0,70448
2757,10,2Story,NoRidge,7,5,353.0,0.0,14,3.5,985,459,9.0,1,1,0,0,271521
2003,84,2Story,SWISU,6,6,206.0,0.0,58,2.0,680,0,30.0,1,1,0,0,154492
2568,49,1Story,NAmes,5,6,168.0,0.0,31,2.0,1023,442,48.0,0,1,0,0,169797
2106,44,2Story,BrDale,6,6,154.0,0.0,1,1.5,663,317,41.0,1,1,0,0,132343
2566,32,2Story,NAmes,6,6,276.0,0.0,39,2.5,901,551,38.0,1,1,0,0,130294
1902,38,SFoyer,MeadowV,5,5,163.0,0.0,38,2.0,708,0,,0,1,0,0,120945
2723,32,2Story,NWAmes,6,6,271.0,0.0,38,2.5,950,579,30.0,1,1,0,0,219935
3494,3,2Story,Gilbert,7,5,222.0,0.0,11,2.5,977,468,0.0,1,1,0,0,178963
1874,36,1Story,Mitchel,5,5,188.0,0.0,36,2.0,822,477,32.0,0,1,0,0,130809
2968,44,2Story,Edwards,6,7,231.0,0.0,4,2.5,851,466,32.0,1,1,0,0,155555
2809,51,1Story,NAmes,5,6,224.0,0.0,54,2.0,827,279,56.0,0,1,0,0,144380
1908,97,1Story,Edwards,5,5,188.0,0.0,54,1.0,634,253,45.0,0,1,0,0,99291
3102,9,1Story,CollgCr,7,5,180.0,0.0,2,2.0,1352,477,2.0,0,1,0,0,192127
1529,90,2Story,OldTown,5,6,179.0,1.0,54,2.0,708,316,48.0,1,1,0,0,116201
2485,31,1Story,NWAmes,7,5,302.0,0.0,35,3.0,1545,547,26.0,0,1,0,0,255294
2084,56,1Story,NAmes,5,5,152.0,0.0,42,2.0,1276,488,42.0,0,1,0,0,141096
3521,33,2Story,Crawfor,8,5,328.0,0.0,18,3.5,1612,701,16.0,1,1,0,0,315708
2765,9,1Story,CollgCr,6,5,243.0,0.0,3,2.0,1345,568,6.0,0,1,0,0,150035
3468,8,1Story,CollgCr,9,5,280.0,0.0,-1,3.0,1466,632,2.0,0,1,0,0,309680
3704,3,1Story,Somerst,8,5,257.0,0.0,6,2.0,1635,828,1.0,0,1,0,0,204233
1708,91,1Story,BrkSide,5,7,189.0,0.0,5,1.0,593,268,76.0,0,1,0,0,123599
1763,57,1Story,Edwards,5,7,173.0,0.0,58,1.0,616,285,76.0,0,1,0,0,82003
3617,10,2Story,SawyerW,6,5,291.0,0.0,8,2.5,1192,559,17.0,1,1,0,0,254442
3214,12,1Story,CollgCr,7,5,214.0,0.0,-1,2.0,1118,474,0.0,0,1,0,0,227831
4032,6,2Story,NridgHt,8,5,272.0,0.0,6,3.5,1558,520,6.0,1,1,0,0,290848
3358,32,1Story,Mitchel,7,5,165.0,0.0,-1,3.0,1880,923,19.0,0,1,0,0,269876
2785,52,1.5Fin,NAmes,6,5,238.0,0.0,57,2.0,879,478,31.0,1,1,0,0,151204
2173,31,1Story,NAmes,5,5,160.0,0.0,46,2.0,638,463,32.0,0,1,0,0,133639
2259,100,2Story,OldTown,7,8,246.0,0.0,12,2.5,498,472,73.0,1,1,0,0,129483
2220,37,1Story,Sawyer,5,6,185.0,0.0,39,2.0,954,277,33.0,0,1,0,0,154231
2288,87,1.5Fin,OldTown,5,6,232.0,0.0,60,1.0,736,306,65.0,1,1,0,0,87710
4048,6,1Story,Somerst,8,5,294.0,0.0,1,2.5,1488,793,27.0,0,1,0,0,234766
2784,47,1Story,NAmes,5,5,172.0,0.0,20,2.0,928,508,50.0,0,1,0,0,128670
1915,44,1Story,NAmes,5,6,180.0,0.0,60,2.0,820,297,50.0,0,1,0,0,118946
1479,47,1.5Fin,NAmes,6,6,177.0,0.0,57,1.5,824,268,52.0,1,1,0,0,135705
2926,43,1.5Fin,NAmes,6,6,262.0,0.0,43,1.5,848,292,47.0,1,1,0,0,167561
1804,56,1Story,Sawyer,5,5,193.0,0.0,38,2.0,796,511,29.0,0,1,0,0,117648
2145,57,1Story,OldTown,5,7,155.0,0.0,5,2.0,686,332,47.0,0,1,0,0,133021
1683,60,1Story,OldTown,5,5,183.0,0.0,16,2.0,498,488,54.0,0,1,0,0,112962
2205,72,1Story,SawyerW,6,7,244.0,0.0,14,2.0,804,377,5.0,0,1,0,0,131907
1752,75,1.5Fin,Edwards,5,6,213.0,0.0,52,2.0,910,0,33.0,0,1,0,0,109553
1796,86,1.5Fin,IDOTRR,5,6,152.0,0.0,60,1.5,522,275,31.0,1,1,0,0,114470
2323,32,2Story,NWAmes,7,5,256.0,0.0,30,2.5,780,579,29.0,1,1,0,0,174617
2641,5,1Story,CollgCr,6,5,302.0,0.0,5,2.5,1564,484,7.0,0,1,0,0,184848
3291,9,2Story,NoRidge,7,5,325.0,0.0,-1,3.5,1179,645,1.0,1,1,0,0,268095
1910,89,1Story,SawyerW,6,7,185.0,0.0,8,2.0,795,484,8.0,0,1,0,0,147925
2088,72,1.5Fin,OldTown,6,6,178.0,0.0,60,2.0,457,246,30.0,1,1,0,0,100639
1665,92,1.5Fin,OldTown,5,6,197.0,0.0,60,1.0,873,272,67.0,1,1,0,0,98578
2898,3,2Story,Somerst,7,5,307.0,1.0,0,2.5,741,533,15.0,1,1,0,0,113073
1807,99,1.5Fin,OldTown,6,7,146.0,0.0,4,1.0,755,451,88.0,1,1,0,0,102984
2034,91,2Story,OldTown,6,8,192.0,0.0,7,2.0,731,424,82.0,1,1,0,0,129654
1511,62,1Story,Edwards,5,5,182.0,0.0,59,1.0,687,203,47.0,0,0,0,0,82335
2997,14,1Story,NridgHt,9,5,248.0,0.0,-1,2.5,1579,602,2.0,0,1,0,0,321816
2680,20,2Story,NWAmes,6,5,266.0,0.0,33,2.5,437,602,31.0,1,1,0,0,128962
2621,14,2Story,Gilbert,7,5,249.0,0.0,-1,2.5,725,441,4.0,1,1,0,0,246097
1808,42,1Story,NWAmes,6,5,182.0,0.0,35,2.0,1314,446,28.0,0,1,0,0,151788
2755,38,1Story,NAmes,6,6,284.0,0.0,52,2.5,1139,653,42.0,0,1,0,0,286561
3163,6,1Story,NridgHt,8,5,253.0,0.0,1,3.0,1548,949,2.0,0,1,0,0,299580
2974,15,1Story,CollgCr,7,5,282.0,0.0,11,2.0,1521,489,11.0,0,1,0,0,217981
3325,6,2Story,NridgHt,8,5,286.0,0.0,1,2.5,956,1031,0.0,0,1,0,0,313159
1958,52,1Story,NAmes,5,5,198.0,0.0,8,2.0,868,282,31.0,0,1,0,0,122640
3438,4,1Story,CollgCr,7,5,289.0,0.0,2,3.0,1654,485,7.0,0,1,0,0,323802
2668,8,1Story,CollgCr,6,5,254.0,0.0,12,2.0,1560,449,12.0,0,1,0,0,229065
3919,10,1Story,CollgCr,7,5,267.0,0.0,3,2.0,1705,689,2.0,0,1,0,0,238089
3074,9,2Story,CollgCr,9,5,285.0,0.0,9,3.5,1253,771,1.0,1,1,0,0,237407
1932,83,1Story,IDOTRR,5,6,187.0,0.0,60,1.0,569,278,72.0,0,1,0,0,69840
3422,12,1Story,SawyerW,7,5,327.0,0.0,13,2.0,1560,778,18.0,0,1,0,0,269833
2840,55,1Story,NAmes,5,5,177.0,0.0,36,2.0,2087,564,53.0,0,1,0,0,176927
2828,112,1.5Fin,OldTown,7,7,275.0,0.0,18,2.0,632,230,88.0,1,1,0,0,272704
4021,12,2Story,CollgCr,7,5,269.0,0.0,1,3.5,937,646,1.0,1,1,0,0,232982
1554,54,1Story,Edwards,5,5,153.0,0.0,3,2.0,785,0,29.0,0,1,0,0,154989
3318,0,2Story,Somerst,8,5,272.0,0.0,0,2.5,1315,530,2.0,1,1,0,0,217837
2773,7,1Story,Somerst,7,5,252.0,0.0,2,2.5,1142,565,4.0,0,1,0,0,182747
1760,45,1Story,Edwards,5,5,181.0,0.0,10,2.0,949,476,17.0,0,1,0,0,114854
3265,72,2Story,Crawfor,7,6,227.0,0.0,19,1.5,714,505,33.0,1,1,0,0,164709
1570,72,1.5Fin,OldTown,6,8,206.0,0.0,52,1.5,598,267,70.0,1,1,0,0,147234
2034,48,1.5Fin,NAmes,5,6,206.0,0.0,55,1.5,893,313,48.0,1,1,0,0,100359
3014,34,1Story,NAmes,5,6,176.0,0.0,26,2.0,881,498,29.0,0,1,0,0,144281
2661,44,1Story,NWAmes,6,5,228.0,0.0,36,2.0,1155,429,25.0,0,1,0,0,179608
2362,32,2Story,NPkVill,6,5,220.0,0.0,39,2.0,262,489,26.0,1,1,0,0,125659
2482,28,1Story,NAmes,5,5,220.0,0.0,35,2.0,1251,498,48.0,0,1,0,0,141174
2730,49,2Story,SawyerW,6,5,233.0,0.0,8,2.5,1097,511,11.0,1,1,0,0,114615
2204,87,1.5Fin,OldTown,6,7,249.0,0.0,12,2.0,1000,452,66.0,1,1,0,0,133877
1537,94,1Story,OldTown,5,7,185.0,0.0,58,1.0,794,233,64.0,0,1,0,0,109605
1414,53,1Story,NAmes,5,5,190.0,0.0,38,2.0,688,479,55.0,0,0,0,0,131528
1894,39,1Story,NAmes,5,5,153.0,0.0,37,2.0,862,459,38.0,0,1,0,0,193260
2834,2,2Story,Gilbert,6,5,239.0,0.0,13,2.5,704,471,14.0,1,1,0,0,147616
1749,36,1Story,NAmes,5,5,181.0,0.0,37,2.0,1254,479,39.0,0,1,0,0,148809
2683,0,2Story,Somerst,8,5,226.0,0.0,3,3.5,969,1080,2.0,1,1,0,0,317706
2248,42,2Story,NAmes,6,6,217.0,0.0,46,1.5,802,300,40.0,1,1,0,0,198285
3982,46,1Story,NAmes,5,5,262.0,0.0,16,2.0,1700,628,31.0,0,1,0,0,182541
3556,9,1Story,NridgHt,8,5,270.0,0.0,2,2.5,1476,538,1.0,0,1,0,0,235999
2089,86,2Story,Crawfor,7,9,241.0,0.0,11,2.5,749,300,73.0,1,1,0,0,192787
3579,4,2Story,CollgCr,8,5,260.0,0.0,6,3.5,1313,945,6.0,1,1,0,0,342461
4534,4,1Story,NridgHt,9,5,228.0,0.0,2,2.0,1767,890,0.0,0,1,0,0,309621
2989,35,1Story,SawyerW,6,5,250.0,0.0,1,2.0,1093,561,33.0,0,1,0,0,144833
1428,79,1Story,BrkSide,5,7,207.0,0.0,57,1.0,841,303,82.0,0,1,0,0,105442
1169,63,1.5Fin,IDOTRR,5,6,188.0,0.0,55,1.0,835,277,32.0,1,1,0,0,140790
2950,40,SLvl,NAmes,6,5,261.0,0.0,5,2.0,878,384,51.0,1,1,0,0,174219
2457,0,1Story,CollgCr,7,5,177.0,0.0,7,2.0,996,455,3.0,0,1,0,0,115992
1583,47,1Story,NAmes,5,5,167.0,0.0,32,1.0,776,303,45.0,0,0,0,0,135143
1810,17,1Story,CollgCr,5,5,167.0,0.0,8,2.0,939,546,30.0,0,1,0,0,105793
1702,41,1Story,NAmes,5,5,170.0,0.0,31,1.0,680,507,31.0,0,1,0,0,102061
1987,51,1Story,NAmes,5,6,187.0,0.0,38,1.5,865,320,51.0,0,1,0,0,115544
2453,43,1Story,Mitchel,6,5,175.0,0.0,21,2.0,961,527,31.0,0,1,0,0,128456
2678,7,SLvl,CollgCr,6,5,231.0,0.0,4,2.5,1193,500,0.0,1,1,0,0,139883
2705,2,2Story,Somerst,7,5,290.0,0.0,4,2.5,1205,542,6.0,1,1,0,0,209574
3057,35,1Story,NAmes,5,5,176.0,0.0,19,2.0,873,616,20.0,0,1,0,0,159760
2347,48,1Story,OldTown,5,5,258.0,0.0,16,2.0,730,626,8.0,0,1,0,0,131757
1495,42,1Story,Sawyer,5,5,174.0,0.0,3,2.0,734,230,35.0,0,1,0,0,128568
1837,9,2Story,SawyerW,6,5,238.0,0.0,11,2.0,999,386,11.0,1,1,0,0,154742
3468,0,2Story,Somerst,8,5,294.0,0.0,-1,2.5,1043,613,1.0,1,1,0,0,301344
3065,9,2Story,Somerst,7,5,268.0,0.0,3,2.5,548,464,2.0,1,1,0,0,201314
3400,3,1Story,CollgCr,8,5,241.0,0.0,2,3.0,1976,826,5.0,0,1,0,0,240446
3401,6,1Story,Timber,8,5,243.0,0.0,0,2.0,1847,418,7.0,0,1,0,0,233413
1838,107,1.5Fin,OldTown,6,7,246.0,0.0,59,2.0,765,252,87.0,1,1,0,0,136172
1976,43,1.5Fin,NAmes,5,7,211.0,0.0,56,2.0,732,260,68.0,0,1,0,0,138824
2328,46,1.5Fin,NAmes,6,7,220.0,0.0,16,2.0,748,455,24.0,1,1,0,0,147493
2474,55,2Story,NAmes,6,5,196.0,0.0,17,1.5,1024,478,55.0,1,1,0,0,154118
3113,4,1Story,CollgCr,7,5,279.0,0.0,6,2.0,1469,570,6.0,0,1,0,0,225197
1910,50,SLvl,NAmes,5,5,180.0,0.0,33,2.0,884,502,33.0,0,1,0,0,114689
790,56,1Story,NAmes,4,5,174.0,0.0,55,1.0,857,0,,0,0,0,0,77724
1595,83,1.5Fin,OldTown,5,5,184.0,0.0,3,2.0,730,278,49.0,1,1,0,0,91606
2875,59,2Story,Crawfor,7,5,283.0,0.0,12,3.5,1221,554,27.0,1,1,0,0,202427
1629,87,1.5Fin,BrkSide,5,6,159.0,0.0,54,1.0,742,176,58.0,1,1,0,0,93864
2302,10,1Story,CollgCr,6,5,156.0,0.0,16,2.0,983,607,5.0,0,1,0,0,161048
1612,80,2Story,OldTown,7,8,226.0,0.0,2,2.0,571,427,69.0,1,1,0,0,164139
1842,47,1Story,Edwards,5,5,203.0,0.0,50,2.0,1345,24,27.0,0,1,0,0,129131
3361,7,2Story,NridgHt,8,5,243.0,0.0,1,3.0,1468,659,4.0,0,1,0,0,298556
3559,44,2Story,NAmes,6,6,329.0,0.0,11,2.5,725,428,42.0,1,1,0,0,176421
2474,40,1Story,Mitchel,5,5,218.0,0.0,30,2.0,1657,620,31.0,0,1,0,0,139575
1834,76,1.5Fin,OldTown,6,4,162.0,0.0,53,2.0,736,397,31.0,1,1,0,0,106393
3218,50,2Story,Crawfor,7,5,292.0,0.0,14,3.5,1056,474,20.0,1,1,0,0,175825
3731,11,1Story,CollgCr,8,5,312.0,0.0,6,3.0,1506,598,1.0,0,1,0,0,306329
3175,35,2Story,NWAmes,7,6,285.0,0.0,10,2.5,1073,470,46.0,1,1,0,0,244304
2651,97,2Story,Crawfor,6,6,270.0,0.0,56,2.5,649,571,79.0,1,1,0,0,139840
2488,1,2Story,CollgCr,7,5,250.0,0.0,3,2.5,1250,570,0.0,1,1,0,0,237229
1808,52,1Story,Edwards,4,5,128.0,0.0,60,1.0,927,17,,0,0,0,0,117524
1796,84,2Story,BrDale,6,5,153.0,1.0,17,2.5,796,323,6.0,1,1,0,0,112404
1883,56,1.5Fin,OldTown,5,6,192.0,0.0,54,2.0,928,280,35.0,1,1,0,0,101335
2927,98,2Story,OldTown,7,8,307.0,0.0,12,2.5,730,607,83.0,1,1,0,0,211797
2335,33,1Story,CollgCr,5,5,167.0,0.0,36,2.0,1179,645,53.0,0,1,0,0,158274
1197,46,1Story,NAmes,5,7,182.0,0.0,58,1.0,803,289,42.0,0,1,0,0,140107
2442,0,1Story,Somerst,7,5,227.0,0.0,1,2.5,1431,461,0.0,0,1,0,0,252707
3388,7,1Story,CollgCr,7,5,317.0,0.0,11,3.0,2153,866,5.0,0,1,0,0,237143
1892,43,SLvl,NWAmes,6,5,212.0,0.0,44,2.5,847,549,40.0,1,1,0,0,156052
2771,103,2Story,Crawfor,7,8,247.0,0.0,9,2.5,667,520,87.0,1,1,0,0,221285
2650,52,1Story,CollgCr,5,5,172.0,0.0,33,2.0,1087,425,27.0,0,1,0,0,123711
1709,45,1Story,NAmes,5,6,246.0,0.0,32,1.5,957,225,42.0,0,0,0,0,116828
1816,30,1Story,NAmes,5,5,158.0,0.0,39,2.0,888,210,48.0,0,0,0,0,147084
1565,43,1Story,Mitchel,5,5,192.0,0.0,47,2.0,788,484,20.0,0,0,0,0,153111
1995,70,2Story,SWISU,6,8,254.0,0.0,58,1.5,760,228,78.0,1,1,0,0,137666
2825,30,2Story,NAmes,6,6,258.0,0.0,33,2.5,1138,498,25.0,1,1,0,0,166321
